#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
20,20,67.477553
9,28,67.514503
-25,10,67.53009
-60,2,67.535493
-6,3,67.539345
52,23,67.571625
7,13,67.593335
-5,1,67.594565
4,5,67.598651
-36,4,67.60492
0,31,67.635692
60,15,68.986762
6,9,68.996347
-29,5,69.002708
-31,7,69.007943
-2,28,69.035286
-2,4,69.03824
2,9,69.047118
-4,4,69.052522
-63,2,69.053982
17,21,69.073744
3,17,69.090821
5,20,69.109956
-26,8,69.118215
10,9,69.124595
-2,2,69.128499
1,10,69.138004
0,4,69.140899
-58,6,69.147549
14,17,69.161907
-30,5,69.168
0,13,69.179697
112,67,69.244068
-5,1,69.244881
-8,5,69.248421
-4,3,69.253113
10,19,69.272799
7,11,69.2831
41,33,69.313933
9,10,69.323521
-47,9,69.33238
8,7,69.339719
-6,2,69.34128
12,24,69.362957
2,23,69.386549
-26,8,69.392317
-3,4,69.397705
1,5,69.401248
-5,1,69.402005
-31,6,69.408846
-32,3,69.411036
4,10,69.420565
-1,2,69.422028
14,16,69.438097
2,11,69.448272
1,28,69.475166
22,35,69.506995
-3,4,69.512408
-28,2,69.513871
1,8,69.52204
-3,6,69.526312
13,14,69.541159
-2,5,69.544697
2,7,69.552176
4,13,69.563811
1,5,69.569826
11,8,69.57793
-28,20,69.596784
-3,1,69.597557
0,3,69.599679
-6,1,69.600443
-20,21,69.620249
-21,8,69.628401
31,23,69.649388
-4,3,69.654063
-34,1,69.654875
9,8,69.662973
9,15,69.676061
-4,10,69.685652
-6,1,69.686427
95,46,69.736557
5,8,69.746143
-6,2,69.748002
7,14,69.760734
-33,2,69.762193
14,17,69.779256
-4,5,69.785379
-5,1,69.786175
6,13,69.798306
-24,17,69.815536
-6,3,69.817769
13,21,69.837808
-54,13,69.84953
-1,2,69.853469
1,15,69.866462
19,17,69.88351
15,12,69.894483
8,8,69.90259
19,36,69.935311
-1,20,69.954309
17,13,69.968442
9,4,69.971381
-1,41,70.011137
36,35,70.045803
18,28,70.070463
45,8,70.07862
2,4,70.084005
25,17,70.098495
-32,3,70.103105
-61,3,70.105295
9,12,70.116238
2,7,70.123684
54,46,70.165684
-1,10,70.175163
-29,6,70.181879
-531,3,70.184059
2,2,70.187981
4,8,70.193681
66,36,70.228824
30,33,70.259508
67,16,70.275798
3,5,70.279331
-13,15,70.294839
-3,3,70.297112
-1,5,70.303114
-32,8,70.308882
-4,6,70.315625
24,37,70.366625
9,17,70.388197
-26,9,70.402095
30,8,70.415196
-35,5,70.423718
5,9,70.436698
3,22,70.467684
64,20,70.498035
5,18,70.525764
6,5,70.530517
0,6,70.540457
24,33,70.574464
-1,6,70.581363
7,12,70.592433
-1,5,70.596248
7,10,70.605949
-2,2,70.607407
3,14,70.622706
-9,16,70.636776
49,19,70.655265
3,8,70.663466
41,6,70.670279
10,15,70.684759
-6,1,70.685687
-5,1,70.686563
-6,6,70.696209
-5,1,70.697962
12,17,70.723439
-6,1,70.725479
15,18,70.751571
28,22,70.783819
-5,2,70.785599
57,29,70.82672
21,22,70.855095
-35,18,70.880485
42,36,70.928309
-5,2,70.929888
5,22,70.951123
-7,7,70.958861
12,10,70.968531
156,41,71.009289
2,4,71.012203
-1,3,71.016893
76,28,71.041872
-36,2,71.045899
-61,1,71.046692
-20,27,71.070654
-6,1,71.071434
-25,4,71.076798
-1,29,71.104498
-3,1,71.105269
12,12,72.522432
